 Metropole Europeenne de Lille 
 Universite Catholique 
 Jardin Vauban 
 Maison Folie Wazemmes 
 Massena 
 Republique Beaux Arts 
 Place de Strasbourg 
 Place Richebe 
 Rue de Toul
 Rihour 
 Saint Maur 
 Mons Sarts 
 Mairie de Mons 
 Lacordaire
 Mendes France
 Verdun
 Concorde 
 Lavoisier
 General de Gaulle 
 Square du Portugal
 Nouveau siecle 
 Rue Bonte-Pollet 
 Hellemmes Cimetiere
 Square Charles de Gaulle
 Avenue de Mormal
 Bois Habite 
 De Gaulle 
 Botanique 
 Hippodrome 
 College Lavoisier
 Lomme-Lambersart
 Opera 
 Lomme Mairie
 Pont superieur 
 Piscine de Marcq
 Rue de l'Eglise 
 Clemenceau Hippodrome 
 Fort de Mons
 Le Polyedre
 Flers Mairie 
 Rue Louise Michel
 Flers Chateau 
 Quai du Wault 
 Pont de Bois 
 V.Ascq Hotel de Ville 
 Centre Commercial V 
 Boulevard de Valmy 
 Rue des Victoires
 Flers Masquelier
 Rue Chambord
 Heron Parc 
 Ladriere
 Rue de Lille
 Champ de Mars 
 Rue Corneille
 Metro Triolo 
 Tremiere
 Rond Point de Tournai
 Annappes Republique 
 Residence
 Solferino Nationale 
 Faubourg d'Arras
 P.I. de Douai 
 Jean Jaures 
 Esplanade 
 Ronchin Mairie 
 Ch. des Margueritois
 Chemin rouge
 Pompidou 
 Chaufferie 
 Bailly
 St Andre Mairie 
 Canon d'Or 
 Delecaut 
 Magasin 
 Halle aux sucres 
 Voltaire 
 Rue Royale 
 N.D. de la Treille 
 Mairie de Croix 
 Edhec
 Parc Barbieux
 Victor Provo 
 Jean Moulin
 Condition Publique 
 Alfred Mongy
 Euroteleport 
 De Fourmies
 Usine 
 Place du Concert 
 Linne
 Gustave Delory 
 Danielle Lesaffre
 Lannoy
 Saint Jean-Baptiste 
 Trois Ponts
 Fraternite 
 Hopital Victor Provo
 Place Spriet 
 Gare Jean Lebas 
 
